Variable,Label,Value
iso3,ISO Country Code,"AFG, AGO, ALB, AND, ARE, ARG, ARM, ATG, AUS, AUT, AZE, BDI, BEL, BEN, BFA, BGD, BGR, BHR, BHS, BIH, BLR, BLZ, BOL, BRA, BRB, BRN, BTN, BWA, CAF, CAN, CHE, CHL, CHN, CIV, CMR, COD, COG, COL, COM, CPV, CRI, CUB, CYP, CZE, DEU, DJI, DMA, DNK, DOM, DZA, ECU, EGY, ERI, ESP, EST, ETH, FIN, FJI, FRA, FSM, GAB, GBR, GEO, GHA, GIN, GMB, GNB, GNQ, GRC, GRD, GTM, GUY, HND, HRV, HTI, HUN, IDN, IND, IRL, IRN, IRQ, ISL, ISR, ITA, JAM, JOR, JPN, KAZ, KEN, KGZ, KHM, KIR, KOR, KWT, LAO, LBN, LBR, LBY, LCA, LKA, LSO, LTU, LUX, LVA, MAR, MDA, MDG, MDV, MEX, MHL, MKD, MLI, MLT, MMR, MNE, MNG, MOZ, MRT, MUS, MWI, MYS, NAM, NER, NGA, NIC, NLD, NOR, NPL, NZL, OMN, PAK, PAN, PER, PHL, PNG, POL, PRK, PRT, PRY, PSE, QAT, ROU, RUS, RWA, SAU, SDN, SEN, SGP, SLB, SLE, SLV, SOM, SRB, STP, SUR, SVK, SVN, SWE, SWZ, SYC, SYR, TCD, TGO, THA, TJK, TKM, TLS, TON, TTO, TUN, TUR, TWN, TZA, UGA, UKR, URY, USA, UZB, VCT, VEN, VNM, VUT, WSM, YEM, ZAF, ZMB, ZWE"
country_name,Country Name,"Afghanistan, Angola, Albania, Andorra, United Arab Emirates, Argentina, Armenia, Antigua and Barbuda, Australia, Austria, Azerbaijan, Burundi, Belgium, Benin, Burkina Faso, Bangladesh, Bulgaria, Bahrain, Bahamas, Bosnia and Herzegovina, Belarus, Belize, Bolivia, Brazil, Barbados, Brunei Darussalam, Bhutan, Botswana, Central African Republic, Canada, Switzerland, Chile, China, Cote d'Ivoire, Cameroon, Congo, the Democratic Republic of the, Congo, Colombia, Comoros, Cape Verde, Costa Rica, Cuba, Cyprus, Czech Republic, Germany, Djibouti, Dominica, Denmark, Dominican Republic, Algeria, Ecuador, Egypt, Eritrea, Spain, Estonia, Ethiopia, Finland, Fiji, France, Micronesia, Federated States of, Gabon, United Kingdom, Georgia, Ghana, Guinea, Gambia, Guinea-Bissau, Equatorial Guinea, Greece, Grenada, Guatemala, Guyana, Honduras, Croatia, Haiti, Hungary, Indonesia, India, Ireland, Iran, Islamic Republic of, Iraq, Iceland, Israel, Italy, Jamaica, Jordan, Japan, Kazakhstan, Kenya, Kyrgyzstan, Cambodia, Kiribati, Korea, Republic of, Kuwait, Lao People's Democratic Republic, Lebanon, Liberia, Libyan Arab Jamahiriya, Saint Lucia, Sri Lanka, Lesotho, Lithuania, Luxembourg, Latvia, Morocco, Moldova, Madagascar, Maldives, Mexico, Marshall Islands, Macedonia, the Former Yugoslav Republic of, Mali, Malta, Myanmar, Montenegro, Mongolia, Mozambique, Mauritania, Mauritius, Malawi, Malaysia, Namibia, Niger, Nigeria, Nicaragua, Netherlands, Norway, Nepal, New Zealand, Oman, Pakistan, Panama, Peru, Philippines, Papua New Guinea, Poland, Korea, Democratic People's Republic of, Portugal, Paraguay, Occupied Palestinian Territory, Qatar, Romania, Russian Federation, Rwanda, Saudi Arabia, Sudan, Senegal, Singapore, Solomon Islands, Sierra Leone, El Salvador, Somalia, Serbia, Sao Tome and Principe, Suriname, Slovakia, Slovenia, Sweden, Swaziland, Seychelles, Syrian Arab Republic, Chad, Togo, Thailand, Tajikistan, Turkmenistan, Timor-Leste, Tonga, Trinidad and Tobago, Tunisia, Turkey, Taiwan, Tanzania, United Republic of, Uganda, Ukraine, Uruguay, United States, Uzbekistan, Saint Vincent and the Grenadines, Venezuela, Viet Nam, Vanuatu, Samoa, Yemen, South Africa, Zambia, Zimbabwe"
year,Year,"1970, 1980, 1990, 2000, 2010"
sex_name,Sex,"Male, Female, Both"
mort_5q0,Probability of Dying Between Age 0 and Age 5,
mort_5q0_ui,Probability of Dying Between Age 0 and Age 5 - 95% Uncertainty Interval,
mort_45q15,Probability of Dying Between Age 15 and Age 60,
mort_45q15_ui,Probability of Dying Between Age 15 and Age 60 - 95% Uncertainty Interval,
mean_age_death,Death Age - Mean,
